WellID,BVHH_imputed,FormationAlias,LateralLength,LeftNeighbourType,RightNeighbourType,CodGOR_imputed,is_zero_proppant,NormalizedOilEUR,NormalizedGasEUR,FluidPerFoot_imputed,ProppantPerFoot_imputed,NioGOR_imputed,TVD_missing_noneighbour,NioGOR_missing_noneighbour,RightDistance_filled,LeftDistance_filled,TVD_imputed,TotalSpacing,BVHH_x_NIOBRARA,BVHH_bin,Proppant_x_BVHH,Proppant_sq_x_BVHH,HighBVHH_Codell_x_Proppant,HighBVHH_Niobrara_x_Proppant,Proppant_level,Fluid_level,Proppant_x_Fluid,HighProppant_HighFluid,NioGOR_bin,BVHH_imputed_sq
500109966,1.59902132,NIOBRARA,15697.0,Codeveloped,Codeveloped,2062.511792,0,20.97515449,106.9275021,1024.192139,907.9441932,2189.233532,0,0,328.0,133.0,7563.0,461.0,1.59902132,High,1451.822122296999,1318173.4654988605,0.0,907.9441932,Medium,Medium,929909.3053261372,0,Low,2.556869181814543
500109967,1.575604124,NIOBRARA,15667.0,Parent,Codeveloped,2104.751386,0,18.32941852,112.8996617,982.3888428,936.7460267,2225.084672,0,0,133.0,3858.0,7811.0,3991.0,1.575604124,High,1475.9409028091343,1382581.7763504675,0.0,936.7460267,Medium,Medium,920248.8451673109,0,Low,2.4825283555658078
500109968,0.98241875,CODELL,4387.0,NoNeighbour,Codeveloped,1691.081695,0,43.40597219,132.4588557,1505.336677,1367.677228,1698.608173,0,0,930.0,-1.0,7857.0,929.0,0.0,Medium,1343.631752735225,1837654.551033694,0.0,0.0,High,High,2058814.6936060914,1,Low,0.9651466003515625
500109969,0.970807576,CODELL,4455.0,Codeveloped,Codeveloped,1485.275765,0,42.20112233,125.4343434,1512.905051,1347.699214,1549.443503,0,0,1182.0,810.0,7840.0,1992.0,0.0,Medium,1308.3566071204452,1763271.1710479308,0.0,0.0,High,High,2038940.9480893298,1,Low,0.9424673496189958
500109970,1.175566839,NIOBRARA,4526.0,Codeveloped,Codeveloped,1615.03195,0,32.28722934,92.77772868,1367.551922,1235.969951,1612.423492,0,0,490.0,261.0,7600.0,751.0,1.175566839,Medium,1452.965288396055,1795821.436303573,0.0,0.0,High,High,1690253.082024296,1,Low,1.381957392956452
500109971,1.175253571,NIOBRARA,4479.0,Codeveloped,Codeveloped,1514.144655,0,26.03014066,81.06764903,1476.74213,131.249386,1546.967975,0,0,1625.0,346.0,7622.0,1971.0,1.175253571,Medium,154.2513095880574,20245.389673128444,0.0,0.0,Low,High,193821.49784283218,0,Low,1.3812209561482522
500109972,1.217025263,NIOBRARA,5871.0,Codeveloped,Codeveloped,1383.825586,0,28.71521036,98.20490547,1616.531426,1311.531255,2218.548707,0,0,285.0,603.0,7451.0,888.0,1.217025263,High,1596.1666705490952,2093422.4766144266,0.0,1311.531255,High,High,2120131.4898887197,1,Low,1.4811504907802193
500109973,0.972426563,CODELL,4488.0,Codeveloped,Codeveloped,1579.332069,0,32.57241533,110.712344,1535.891711,1336.898396,1557.978182,0,0,810.0,930.0,7838.0,1740.0,0.0,Medium,1300.0355123024929,1738015.3911402412,0.0,0.0,High,High,2053331.1648655955,1,Low,0.9456134204279929
500109974,0.968310606,CODELL,5933.0,Codeveloped,Codeveloped,1415.439532,0,33.99157256,109.4513737,1233.630541,1078.038092,1730.32256,0,0,883.0,1182.0,7846.0,2065.0,0.0,Medium,1043.8757181556036,1125337.7874855967,0.0,0.0,High,High,1329900.7146525679,1,Low,0.9376254296920872
500109975,1.179813131,NIOBRARA,4536.0,Codeveloped,Codeveloped,1545.598291,0,29.41909171,106.4415785,1511.277778,1301.146384,1557.978182,0,0,346.0,490.0,7682.0,836.0,1.179813131,Medium,1535.1095891963682,1997402.2910265797,0.0,0.0,High,High,1966393.6160642544,1,Low,1.391959024080023
